WAVELENGTHS,AMPLITUDES_RED_BLUE,LEAF_TOP_SPD,LEAF_TOP_SPT,LEAF_BOTTOM_SPD,LEAF_BOTTOM_SPT,LEAF_BOTTOM_SPD,INTERNODE_SPT,FRUIT_RIPEN_SPD,FRUIT_RIPEN_SPT,FRUIT_UNRIPEN_SPD,FRUIT_UNRIPEN_SPT,TILE_SENSOR_TOP_SPD,TILE_SENSOR_TOP_SPT,TILE_SENSOR_BOTTOM_SPD,TILE_SENSOR_BOTTOM_SPT,CUBE_SPD,CUBE_SPT,CEILING SPD,CEILING SPT,FLOOR_SPD,FLOOR_SPT,WALL_SPD,WALL_SPT,,,CUBE_SPD,CUBE_SPT,CEILING SPD,CEILING SPT,FLOOR_SPD,FLOOR_SPT,WALL_SPD,WALL_SPT,,CUBE_SPD,CUBE_SPT,CEILING SPD,CEILING SPT,FLOOR_SPD,FLOOR_SPT,WALL_SPD,WALL_SPT
530,0.037813714,0.048235589,0.061322839,0.103529869,0.067846149,0.103529869,0,0.057055482,0,0.193077557,0,0,0,0,1,0.610464416,0,0.325403242,0,0.50607984,0,0.55713112,0,,,0.76308052,0,0.406754053,0,0.6325998,0,0.6964139,0,,0.610464416,0,0.325403242,0,0.50607984,0,0.55713112,0
535,0.038760947,0.051780006,0.0699028,0.107814594,0.077225366,0.107814594,0,0.060065588,0,0.199156034,0,0,0,0,1,0.60665328,0,0.324828131,0,0.504276666,0,0.55453792,0,,,0.7583166,0,0.406035164,0,0.630345833,0,0.6931724,0,,0.60665328,0,0.324828131,0,0.504276666,0,0.55453792,0
540,0.039298641,0.053643294,0.074518772,0.109972509,0.08251892,0.109972509,0,0.062664177,0,0.205036306,0,0,0,0,1,0.603565408,0,0.323812473,0,0.50196488,0,0.551626186,0,,,0.75445676,0,0.404765591,0,0.6274561,0,0.689532733,0,,0.603565408,0,0.323812473,0,0.50196488,0,0.551626186,0
545,0.039526136,0.054570267,0.077184022,0.110968977,0.0854716,0.110968977,0,0.065288128,0,0.209122584,0,0,0,0,1,0.5999496,0,0.322308309,0,0.499620454,0,0.548336454,0,,,0.749937,0,0.402885386,0,0.624525567,0,0.685420567,0,,0.5999496,0,0.322308309,0,0.499620454,0,0.548336454,0
550,0.039560974,0.055297261,0.079442733,0.111641669,0.087874954,0.111641669,0,0.067654863,0,0.209518982,0,0,0,0,1,0.596598048,0,0.32071426,0,0.49753928,0,0.54563184,0,,,0.74574756,0,0.400892825,0,0.6219241,0,0.6820398,0,,0.596598048,0,0.32071426,0,0.49753928,0,0.54563184,0
555,0.039307884,0.055112989,0.080111072,0.111462834,0.088643354,0.111462834,0,0.069289051,0,0.2083469,0,0,0,0,1,0.592762464,0,0.319656814,0,0.495469466,0,0.543208186,0,,,0.74095308,0,0.399571018,0,0.619336833,0,0.679010233,0,,0.592762464,0,0.319656814,0,0.495469466,0,0.543208186,0
560,0.039114663,0.053008339,0.077504511,0.109337246,0.085825829,0.109337246,0,0.073389602,0,0.20697825,0,0,0,0,1,0.589607328,0,0.318341902,0,0.49366856,0,0.54082976,0,,,0.73700916,0,0.397927377,0,0.6170857,0,0.6760372,0,,0.589607328,0,0.318341902,0,0.49366856,0,0.54082976,0
565,0.038699199,0.049730244,0.071809372,0.105363823,0.079550154,0.105363823,0,0.079393911,0,0.207572145,0,0,0,0,1,0.586868384,0,0.316956121,0,0.492394134,0,0.538626986,0,,,0.73358548,0,0.396195151,0,0.615492667,0,0.673283733,0,,0.586868384,0,0.316956121,0,0.492394134,0,0.538626986,0
570,0.038139412,0.04548,0.06350345,0.100057457,0.070515846,0.100057457,0,0.088769758,0,0.191438684,0,0,0,0,1,0.583573472,0,0.315431547,0,0.490775466,0,0.53678176,0,,,0.72946684,0,0.394289434,0,0.613469333,0,0.6709772,0,,0.583573472,0,0.315431547,0,0.490775466,0,0.53678176,0
575,0.037524976,0.041711956,0.055066017,0.094945857,0.061199389,0.094945857,0,0.10212067,0,0.183013307,0,0,0,0,1,0.580717472,0,0.314013023,0,0.489138746,0,0.534340666,0,,,0.72589684,0,0.392516279,0,0.611423433,0,0.667925833,0,,0.580717472,0,0.314013023,0,0.489138746,0,0.534340666,0
580,0.036979165,0.039042122,0.048398611,0.091054594,0.053923794,0.091054594,0,0.115987966,0,0.18698584,0,0,0,0,1,0.578109728,0,0.312502558,0,0.4871328,0,0.532650054,0,,,0.72263716,0,0.390628198,0,0.608916,0,0.665812567,0,,0.578109728,0,0.312502558,0,0.4871328,0,0.532650054,0
585,0.036343288,0.037324922,0.043543044,0.087996606,0.048621091,0.087996606,0,0.137396435,0,0.183776952,0,0,0,0,1,0.575416288,0,0.310795269,0,0.48517176,0,0.530593734,0,,,0.71927036,0,0.388494086,0,0.6064647,0,0.663242167,0,,0.575416288,0,0.310795269,0,0.48517176,0,0.530593734,0
590,0.035806611,0.036034778,0.040021583,0.085704051,0.044705029,0.085704051,0,0.159985306,0,0.180147116,0,0,0,0,1,0.572736064,0,0.30946117,0,0.483328986,0,0.52840752,0,,,0.71592008,0,0.386826462,0,0.604161233,0,0.6605094,0,,0.572736064,0,0.30946117,0,0.483328986,0,0.52840752,0
595,0.035559398,0.035217078,0.037815506,0.084122486,0.042213006,0.084122486,0,0.185127484,0,0.176137074,0,0,0,0,1,0.570387424,0,0.307977304,0,0.4814168,0,0.52648608,0,,,0.71298428,0,0.38497163,0,0.601771,0,0.6581076,0,,0.570387424,0,0.307977304,0,0.4814168,0,0.52648608,0
