day,plant_id,organ_class,rank,order,parent_rank,age_dd,dry_biomass_mg,area_m2,length,is_fruit,is_root,internode_width_m,leaf_length_petiole,leaf_diameter_petiole,leaf_angle_petiole,leaf_ccw_orientation,leaf_curvature,leaf_blades_nr,leaf_area_blades_total,leaf_rachis_length,fruit_nr,fruit_radius_0,fruit_radius_1,fruit_radius_2,fruit_age_dd_0,fruit_age_dd_1,fruit_age_dd_2,fruit_ripening_dd,fruit_truss_angle
7,4,Leaf,1,0,0,102.50256,88.50930247713526,0.0017492976043363105,0.0,false,false,0,0.025827818,0.004459915,90.0,270.0,90.0,2,0.0014003103,0.03126124,0,0,0,0,0,0,0,0,0
7,4,Leaf,2,0,0,102.50256,50.84027688756341,0.0011916331892623433,0.0,false,false,0,0.022521133,0.003995083,70.0,180.0,90.0,3,7.710737E-4,0.05501879,0,0,0,0,0,0,0,0,0
7,5,Leaf,0,0,0,402.5026,7.386128135554356,1.9532719377323964E-4,0.0,false,false,0,0.0140959285,0.0027417946,90.0,180.0,90.0,1,1.3461884E-4,0.0,0,0,0,0,0,0,0,0,0
7,5,Leaf,0,0,0,402.5026,7.386128135554356,1.9532719377323964E-4,0.0,false,false,0,0.0140959285,0.0027417946,90.0,0.0,90.0,1,1.3461884E-4,0.0,0,0,0,0,0,0,0,0,0
7,5,Leaf,1,0,0,102.50256,88.6327771169672,0.0017541053347013876,0.0,false,false,0,0.025842315,0.004461926,90.0,90.0,90.0,2,0.001404803,0.031271666,0,0,0,0,0,0,0,0,0
7,5,Leaf,1,0,0,102.50256,88.6327771169672,0.0017541053347013876,0.0,false,false,0,0.025842315,0.004461926,90.0,270.0,90.0,2,0.001404803,0.031271666,0,0,0,0,0,0,0,0,0
7,5,Leaf,2,0,0,102.50256,50.77455153148693,0.0011918551950808307,0.0,false,false,0,0.022522079,0.003995218,70.0,180.0,90.0,3,7.7125884E-4,0.05502174,0,0,0,0,0,0,0,0,0
7,6,Leaf,0,0,0,402.5026,7.401413360987312,1.9532719377323964E-4,0.0,false,false,0,0.0140959285,0.0027417946,90.0,180.0,90.0,1,1.3461884E-4,0.0,0,0,0,0,0,0,0,0,0
7,6,Leaf,0,0,0,402.5026,7.401413360987312,1.9532719377323964E-4,0.0,false,false,0,0.0140959285,0.0027417946,90.0,0.0,90.0,1,1.3461884E-4,0.0,0,0,0,0,0,0,0,0,0
7,6,Leaf,1,0,0,102.50256,88.5422685475658,0.0017498290678359867,0.0,false,false,0,0.025829421,0.004460138,90.0,90.0,90.0,2,0.0014008069,0.03126239,0,0,0,0,0,0,0,0,0
7,6,Leaf,1,0,0,102.50256,88.5422685475658,0.0017498290678359867,0.0,false,false,0,0.025829421,0.004460138,90.0,270.0,90.0,2,0.0014008069,0.03126239,0,0,0,0,0,0,0,0,0
