Step,Time,X_Pos_m,Deflection_mm,Force_N
190,2.4953,0.000000,0.0000,0.104014
191,2.5084,0.000000,0.0000,0.104014
192,2.5211,0.000000,0.0000,0.104014
193,2.5335,0.000000,0.0000,0.104014
194,2.5471,0.000000,0.0000,0.104014
195,2.5602,0.000000,0.0000,0.104014
196,2.5729,0.000000,0.0000,0.104014
197,2.5849,0.000000,0.0000,0.104014
198,2.5976,0.000000,0.0000,0.104014
199,2.6127,0.000000,0.0000,0.104014
200,2.6254,0.000000,0.0000,0.104014
201,2.6408,0.000000,0.0000,0.104014
202,2.6556,0.000000,0.0000,0.104014
203,2.6692,0.000000,0.0000,0.104014
204,2.6826,0.000000,0.0000,0.104014
205,2.6956,0.000000,0.0000,0.104014
206,2.7106,0.000000,0.0000,0.104014
207,2.7234,0.000000,0.0000,0.104014
208,2.7356,0.000000,0.0000,0.104014
209,2.7483,0.000000,0.0000,0.104014
210,2.7614,0.000000,0.0000,0.104014
211,2.7744,0.000000,0.0000,0.104014
212,2.7867,0.000000,0.0000,0.104014
213,2.7996,0.000000,0.0000,0.104014
214,2.8135,0.000000,0.0000,0.104014
215,2.8259,0.000000,0.0000,0.104014
216,2.8392,0.000000,0.0000,0.104014
217,2.8519,0.000000,0.0000,0.104014
218,2.8645,0.000000,0.0000,0.104014
219,2.8772,0.000000,0.0000,0.104014
220,2.8900,0.000000,0.0000,0.104014
221,2.9023,0.000000,0.0000,0.104014
222,2.9150,0.000000,0.0000,0.104014
223,2.9305,0.000000,0.0000,0.104014
224,2.9433,0.000000,0.0000,0.104014
225,2.9561,0.000000,0.0000,0.104014
226,2.9680,0.000000,0.0000,0.104014
227,2.9816,0.000000,0.0000,0.104014
228,2.9967,0.000000,0.0000,0.104014
229,3.0094,0.000000,0.0000,0.104014
230,3.0224,0.000000,0.0000,0.104014
231,3.0388,0.000000,0.0000,0.104014
232,3.0523,0.000000,0.0000,0.104014
233,3.0670,0.000000,0.0000,0.104014
234,3.0802,0.000000,0.0000,0.104014
235,3.0928,0.000000,0.0000,0.104014
236,3.1051,0.000000,0.0000,0.104014
237,3.1172,0.000000,0.0000,0.104014
238,3.1312,0.000000,0.0000,0.104014
239,3.1444,0.000000,0.0000,0.104014
240,3.1568,0.000000,0.0000,0.104014
241,3.1692,0.000000,0.0000,0.104014
242,3.1821,0.000000,0.0000,0.104014
243,3.1948,0.000000,0.0000,0.104014
244,3.2069,0.000000,0.0000,0.104014
245,3.2188,0.000000,0.0000,0.104014
246,3.2351,0.000000,0.0000,0.104014
247,3.2472,0.000000,0.0000,0.104014
248,3.2597,0.000000,0.0000,0.104014
249,3.2723,0.000000,0.0000,0.104014
250,3.2852,0.000000,0.0000,0.104014
251,3.2976,0.000000,0.0000,0.104014
252,3.3098,0.000000,0.0000,0.104014
253,3.3232,0.000000,0.0000,0.104014
254,3.3367,0.000000,0.0000,0.104014
255,3.3497,0.000000,0.0000,0.104014
256,3.3637,0.000000,0.0000,0.104014
257,3.3771,0.000000,0.0000,0.104014
258,3.3942,0.000000,0.0000,0.104014
259,3.4089,0.000000,0.0000,0.104014
260,3.4229,0.000000,0.0000,0.104014
261,3.4356,0.000000,0.0000,0.104014
262,3.4483,0.000000,0.0000,0.104014
263,3.4610,0.000000,0.0000,0.104014
264,3.4742,0.000000,0.0000,0.104014
265,3.4861,0.000000,0.0000,0.104014
266,3.5000,0.000000,0.0000,0.104014
267,3.5127,0.000000,0.0000,0.104014
268,3.5267,0.000000,0.0000,0.104014
269,3.5391,0.000000,0.0000,0.104014
270,3.5519,0.000000,0.0000,0.104014
271,3.5649,0.000000,0.0000,0.104014
272,3.5785,0.000000,0.0000,0.104014
273,3.5920,0.000000,0.0000,0.104014
274,3.6058,0.000000,0.0000,0.104014
275,3.6185,0.000000,0.0000,0.104014
276,3.6312,0.000000,0.0000,0.104014
277,3.6438,0.000000,0.0000,0.104014
278,3.6560,0.000000,0.0000,0.104014
279,3.6684,0.000000,0.0000,0.104014
280,3.6810,0.000000,0.0000,0.104014
281,3.6934,0.000000,0.0000,0.104014
282,3.7077,0.000000,0.0000,0.104014
283,3.7203,0.000000,0.0000,0.104014
284,3.7323,0.000000,0.0000,0.104014
285,3.7452,0.000000,0.0000,0.104014
286,3.7583,0.000000,0.0000,0.104014
287,3.7729,0.000000,0.0000,0.104014
288,3.7852,0.000000,0.0000,0.104014
289,3.7971,0.000000,0.0000,0.104014
290,3.8101,0.000000,0.0000,0.104014
291,3.8223,0.000000,0.0000,0.104014
292,3.8362,0.000000,0.0000,0.104014
293,3.8498,0.000000,0.0000,0.104014
294,3.8620,0.000000,0.0000,0.104014
295,3.8758,0.000000,0.0000,0.104014
296,3.8883,0.000000,0.0000,0.104014
297,3.9029,0.000000,0.0000,0.104014
298,3.9157,0.000000,0.0000,0.104014
299,3.9289,0.000000,0.0000,0.104014
300,3.9424,0.000000,0.0000,0.104014
301,3.9552,0.000000,0.0000,0.104014
302,3.9672,0.000000,0.0000,0.104014
303,3.9818,0.000000,0.0000,0.104014
304,3.9939,0.000000,0.0000,0.104014
305,4.0065,0.000000,0.0000,0.104014
306,4.0188,0.000000,0.0000,0.104014
307,4.0317,0.000000,0.0000,0.104014
308,4.0446,0.000000,0.0000,0.104014
309,4.0570,0.000000,0.0000,0.104014
310,4.0691,0.000000,0.0000,0.104014
311,4.0823,0.000000,0.0000,0.104014
312,4.0940,0.000000,0.0000,0.104014
313,4.1065,0.000000,0.0000,0.104014
314,4.1191,0.000000,0.0000,0.104014
315,4.1319,0.000000,0.0000,0.104014
316,4.1453,0.000000,0.0000,0.104014
317,4.1579,0.000000,0.0000,0.104014
318,4.1703,0.000000,0.0000,0.104014
319,4.1824,0.000000,0.0000,0.104014
320,4.1950,0.000000,0.0000,0.104014
321,4.2074,0.000000,0.0000,0.104014
322,4.2197,0.000000,0.0000,0.104014
323,4.2318,0.000000,0.0000,0.104014
324,4.2458,0.000000,0.0000,0.104014
325,4.2584,0.000000,0.0000,0.104014
326,4.2708,0.000000,0.0000,0.104014
327,4.2830,0.000000,0.0000,0.104014
328,4.2956,0.000000,0.0000,0.104014
329,4.3090,0.000000,0.0000,0.104014
330,4.3216,0.000000,0.0000,0.104014
331,4.3341,0.000000,0.0000,0.104014
332,4.3474,0.000000,0.0000,0.104014
333,4.3603,0.000000,0.0000,0.104014
334,4.3732,0.000000,0.0000,0.104014
335,4.3855,0.000000,0.0000,0.104014
336,4.3983,0.000000,0.0000,0.104014
337,4.4119,0.000000,0.0000,0.104014
338,4.4252,0.000000,0.0000,0.104014
339,4.4377,0.000000,0.0000,0.104014
340,4.4500,0.000000,0.0000,0.104014
341,4.4624,0.000000,0.0000,0.104014
342,4.4749,0.000000,0.0000,0.104014
343,4.4872,0.000000,0.0000,0.104014
344,4.4997,0.000000,0.0000,0.104014
345,4.5117,0.000000,0.0000,0.104014
346,4.5239,0.000000,0.0000,0.104014
347,4.5359,0.000000,0.0000,0.104014
348,4.5503,0.000000,0.0000,0.104014
349,4.5696,0.000000,0.0000,0.104014
350,4.5853,0.000000,0.0000,0.104014
351,4.5995,0.000000,0.0000,0.104014
352,4.6126,0.000000,0.0000,0.104014
353,4.6249,0.000000,0.0000,0.104014
354,4.6380,0.000000,0.0000,0.104014
355,4.6503,0.000000,0.0000,0.104014
356,4.6639,0.000000,0.0000,0.104014
357,4.6763,0.000000,0.0000,0.104014
358,4.6922,0.000000,0.0000,0.104014
359,4.7050,0.000000,0.0000,0.104014
360,4.7182,0.000000,0.0000,0.104014
361,4.7322,0.000000,0.0000,0.104014
362,4.7460,0.000000,0.0000,0.104014
363,4.7598,0.000000,0.0000,0.104014
364,4.7740,0.000000,0.0000,0.104014
365,4.7872,0.000000,0.0000,0.104014
366,4.8006,0.000000,0.0000,0.104014
367,4.8146,0.000000,0.0000,0.104014
368,4.8283,0.000000,0.0000,0.104014
369,4.8419,0.000000,0.0000,0.104014
370,4.8556,0.000000,0.0000,0.104014
371,4.8701,0.000000,0.0000,0.104014
372,4.8837,0.000000,0.0000,0.104014
373,4.8977,0.000000,0.0000,0.104014
374,4.9110,0.000000,0.0000,0.104014
375,4.9250,0.000000,0.0000,0.104014
376,4.9381,0.000000,0.0000,0.104014
377,4.9523,0.000000,0.0000,0.104014
378,4.9656,0.000000,0.0000,0.104014
379,4.9798,0.000000,0.0000,0.104014
380,4.9930,0.000000,0.0000,0.104014
381,5.0065,0.000000,0.0000,0.104014
382,5.0200,0.000000,0.0000,0.104014
383,5.0331,0.000000,0.0000,0.104014
384,5.0465,0.000000,0.0000,0.104014
385,5.0607,0.000000,0.0000,0.104014
386,5.0742,0.000000,0.0000,0.104014
387,5.0879,0.000000,0.0000,0.104014
388,5.1006,0.000000,0.0000,0.104014
389,5.1133,0.000000,0.0000,0.104014
390,5.1261,0.000000,0.0000,0.104014
391,5.1384,0.000000,0.0000,0.104014
392,5.1510,0.000000,0.0000,0.104014
393,5.1648,0.000000,0.0000,0.104014
394,5.1777,0.000000,0.0000,0.104014
395,5.1905,0.000000,0.0000,0.104014
396,5.2029,0.000000,0.0000,0.104014
397,5.2160,0.000000,0.0000,0.104014
398,5.2286,0.000000,0.0000,0.104014
399,5.2409,0.000000,0.0000,0.104014
400,5.2535,0.000000,0.0000,0.104014
401,5.2661,0.000000,0.0000,0.104014
402,5.2788,0.000000,0.0000,0.104014
403,5.2918,0.000000,0.0000,0.104014
404,5.3046,0.000000,0.0000,0.104014
405,5.3168,0.000000,0.0000,0.104014
406,5.3297,0.000000,0.0000,0.104014
407,5.3424,0.000000,0.0000,0.104014
408,5.3551,0.000000,0.0000,0.104014
409,5.3706,0.000000,0.0000,0.104014
410,5.3832,0.000000,0.0000,0.104014
411,5.3965,0.000000,0.0000,0.104014
412,5.4089,0.000000,0.0000,0.104014
413,5.4212,0.000000,0.0000,0.104014
414,5.4339,0.000000,0.0000,0.104014
415,5.4479,0.000000,0.0000,0.104014
416,5.4606,0.000000,0.0000,0.104014
417,5.4734,0.000000,0.0000,0.104014
418,5.4855,0.000000,0.0000,0.104014
419,5.4985,0.000000,0.0000,0.104014
420,5.5114,0.000000,0.0000,0.104014
421,5.5243,0.000000,0.0000,0.104014
422,5.5372,0.000000,0.0000,0.104014
423,5.5507,0.000000,0.0000,0.104014
424,5.5624,0.000000,0.0000,0.104014
425,5.5774,0.000000,0.0000,0.104014
426,5.5905,0.000000,0.0000,0.104014
427,5.6026,0.000000,0.0000,0.104014
428,5.6157,0.000000,0.0000,0.104014
429,5.6288,0.000000,0.0000,0.104014
430,5.6412,0.000000,0.0000,0.104014
431,5.6530,0.000000,0.0000,0.104014
432,5.6654,0.000000,0.0000,0.104014
433,5.6787,0.000000,0.0000,0.104014
434,5.6900,0.000000,0.0000,0.104014
435,5.7026,0.000000,0.0000,0.104014
436,5.7159,0.000000,0.0000,0.104014
437,5.7286,0.000000,0.0000,0.104014
438,5.7413,0.000000,0.0000,0.104014
439,5.7537,0.000000,0.0000,0.104014
440,5.7667,0.000000,0.0000,0.104014
441,5.7814,0.000000,0.0000,0.104014
442,5.7939,0.000000,0.0000,0.104014
443,5.8071,0.000000,0.0000,0.104014
444,5.8192,0.000000,0.0000,0.104014
445,5.8323,0.000000,0.0000,0.104014
446,5.8453,0.000000,0.0000,0.104014
447,5.8580,0.000000,0.0000,0.104014
448,5.8710,0.000000,0.0000,0.104014
449,5.8837,0.000000,0.0000,0.104014
450,5.8971,0.000000,0.0000,0.104014
451,5.9099,0.000000,0.0000,0.104014
452,5.9225,0.000000,0.0000,0.104014
453,5.9351,0.000000,0.0000,0.104014
454,5.9480,0.000000,0.0000,0.104014
455,5.9614,0.000000,0.0000,0.104014
456,5.9739,0.000000,0.0000,0.104014
457,5.9866,0.000000,0.0000,0.104014
458,5.9989,0.000000,0.0000,0.104014
459,6.0116,0.000000,0.0000,0.104014
460,6.0243,0.000000,0.0000,0.104014
461,6.0369,0.000000,0.0000,0.104014
462,6.0494,0.000000,0.0000,0.104014
463,6.0624,0.000000,0.0000,0.104014
464,6.0751,0.000000,0.0000,0.104014
465,6.0876,0.000000,0.0000,0.104014
466,6.1000,0.000000,0.0000,0.104014
467,6.1129,0.000000,0.0000,0.104014
468,6.1257,0.000000,0.0000,0.104014
469,6.1392,0.000000,0.0000,0.104014
470,6.1516,0.000000,0.0000,0.104014
471,6.1652,0.000000,0.0000,0.104014
472,6.1775,0.000000,0.0000,0.104014
473,6.1901,0.000000,0.0000,0.104014
474,6.2022,0.000000,0.0000,0.104014
475,6.2153,0.000000,0.0000,0.104014
476,6.2276,0.000000,0.0000,0.104014
477,6.2402,0.000000,0.0000,0.104014
478,6.2526,0.000000,0.0000,0.104014
479,6.2661,0.000000,0.0000,0.104014
480,6.2790,0.000000,0.0000,0.104014
481,6.2922,0.000000,0.0000,0.104014
482,6.3054,0.000000,0.0000,0.104014
483,6.3178,0.000000,0.0000,0.104014
484,6.3303,0.000000,0.0000,0.104014
485,6.3434,0.000000,0.0000,0.104014
486,6.3569,0.000000,0.0000,0.104014
487,6.3688,0.000000,0.0000,0.104014
488,6.3830,0.000000,0.0000,0.104014
489,6.3956,0.000000,0.0000,0.104014
490,6.4086,0.000000,0.0000,0.104014
491,6.4206,0.000000,0.0000,0.104014
492,6.4327,0.000000,0.0000,0.104014
493,6.4460,0.000000,0.0000,0.104014
494,6.4585,0.000000,0.0000,0.104014
495,6.4717,0.000000,0.0000,0.104014
496,6.4833,0.000000,0.0000,0.104014
497,6.4961,0.000000,0.0000,0.104014
498,6.5088,0.000000,0.0000,0.104014
499,6.5209,0.000000,0.0000,0.104014
500,6.5333,0.000000,0.0000,0.104014
501,6.5459,0.000000,0.0000,0.104014
