day,plant_id,organ_class,rank,order,parent_rank,age_dd,dry_biomass_mg,area_m2,length,is_fruit,is_root,internode_width_m,leaf_length_petiole,leaf_diameter_petiole,leaf_angle_petiole,leaf_ccw_orientation,leaf_curvature,leaf_blades_nr,leaf_area_blades_total,leaf_rachis_length,fruit_nr,fruit_radius_0,fruit_radius_1,fruit_radius_2,fruit_age_dd_0,fruit_age_dd_1,fruit_age_dd_2,fruit_ripening_dd,fruit_truss_angle
5,5,Leaf,2,0,0,71.86866,23.630311887232367,6.88216048012357E-4,0.0,false,false,0,0.019774446,0.003598691,70.0,180.0,90.0,3,3.6697803E-4,0.04672135,0,0,0,0,0,0,0,0,0
5,6,Leaf,0,0,0,371.86868,7.380125024090754,1.9532719377323964E-4,0.0,false,false,0,0.0140959285,0.0027417946,90.0,180.0,90.0,1,1.3461884E-4,0.0,0,0,0,0,0,0,0,0,0
5,6,Leaf,0,0,0,371.86868,7.380125024090754,1.9532719377323964E-4,0.0,false,false,0,0.0140959285,0.0027417946,90.0,0.0,90.0,1,1.3461884E-4,0.0,0,0,0,0,0,0,0,0,0
5,6,Leaf,1,0,0,71.86866,68.05644688774554,0.0014149737639067613,0.0,false,false,0,0.024717854,0.0043052663,90.0,90.0,90.0,2,0.0010897364,0.030462982,0,0,0,0,0,0,0,0,0
5,6,Leaf,1,0,0,71.86866,68.05644688774554,0.0014149737639067613,0.0,false,false,0,0.024717854,0.0043052663,90.0,270.0,90.0,2,0.0010897364,0.030462982,0,0,0,0,0,0,0,0,0
5,6,Leaf,2,0,0,71.86866,23.687084903701297,6.879993472697033E-4,0.0,false,false,0,0.019772891,0.0035984637,70.0,180.0,90.0,3,3.6681333E-4,0.0467168,0,0,0,0,0,0,0,0,0
5,7,Leaf,0,0,0,371.86868,7.396513185528754,1.9532719377323964E-4,0.0,false,false,0,0.0140959285,0.0027417946,90.0,180.0,90.0,1,1.3461884E-4,0.0,0,0,0,0,0,0,0,0,0
5,7,Leaf,0,0,0,371.86868,7.396513185528754,1.9532719377323964E-4,0.0,false,false,0,0.0140959285,0.0027417946,90.0,0.0,90.0,1,1.3461884E-4,0.0,0,0,0,0,0,0,0,0,0
5,7,Leaf,1,0,0,71.86866,68.20187984593878,0.0014152134452170783,0.0,false,false,0,0.024718732,0.0043053892,90.0,90.0,90.0,2,0.0010899575,0.030463614,0,0,0,0,0,0,0,0,0
5,7,Leaf,1,0,0,71.86866,68.20187984593878,0.0014152134452170783,0.0,false,false,0,0.024718732,0.0043053892,90.0,270.0,90.0,2,0.0010899575,0.030463614,0,0,0,0,0,0,0,0,0
5,7,Leaf,2,0,0,71.86866,23.722614968173513,6.880112849266793E-4,0.0,false,false,0,0.019772978,0.0035984763,70.0,180.0,90.0,3,3.668224E-4,0.046717055,0,0,0,0,0,0,0,0,0
5,8,Leaf,0,0,0,371.86868,7.375974459519153,1.9532719377323964E-4,0.0,false,false,0,0.0140959285,0.0027417946,90.0,180.0,90.0,1,1.3461884E-4,0.0,0,0,0,0,0,0,0,0,0
5,8,Leaf,0,0,0,371.86868,7.375974459519153,1.9532719377323964E-4,0.0,false,false,0,0.0140959285,0.0027417946,90.0,0.0,90.0,1,1.3461884E-4,0.0,0,0,0,0,0,0,0,0,0
5,8,Leaf,1,0,0,71.86866,68.00171848482623,0.0014146110458320529,0.0,false,false,0,0.024716524,0.00430508,90.0,90.0,90.0,2,0.0010894017,0.030462025,0,0,0,0,0,0,0,0,0
5,8,Leaf,1,0,0,71.86866,68.00171848482623,0.0014146110458320529,0.0,false,false,0,0.024716524,0.00430508,90.0,270.0,90.0,2,0.0010894017,0.030462025,0,0,0,0,0,0,0,0,0
