file_name,plant_density,age_in_days_d,age_in_degree_days_dd,avg_dry_biomass_plant_with_roots_plant_daly_mg, gross photosynthesis CH2O mg,maintenance CH2O mg,avg_cumulative_PAR_absorbed_per_plant_umol,avg_cumulative_gross_assimmilates_plant_mg,avg_cumulative_assimilates_plant_mg
base_plant_dynamic_50.csv,50.0,36.0,927.26117,8468.791271771623,1118.3996776303422,99.95488166024575,228.63679224710054,12765.156583948094,11579.745892638723
base_plant_dynamic_50.csv,50.0,37.0,942.6948,9199.881749943046,1180.48226659917,107.48479017483807,244.1835092007887,13945.638850547264,12652.743369063055
base_plant_dynamic_50.csv,50.0,38.0,958.1641,9981.077410238207,1263.2898570423056,115.40833486826114,260.1852961509621,15208.92870758957,13800.6248912371
base_plant_dynamic_50.csv,50.0,39.0,973.54114,10809.668289542602,1341.0857168235234,122.60452947140402,276.65351698487035,16550.014424413093,15019.106078589219
base_plant_dynamic_50.csv,50.0,40.0,988.9967,11661.11768323424,1383.5303299656268,130.58871115121713,293.4859410093164,17933.54475437872,16272.047697403628
base_plant_dynamic_50.csv,50.0,41.0,1004.4296,12532.053787798524,1413.1945412516536,138.71731224950958,310.6921743370163,19346.739295630374,17546.52492640577
base_plant_dynamic_50.csv,50.0,42.0,1019.81244,13431.428864702373,1443.3202876132095,146.91685705802445,328.27873103318063,20790.059583243583,18842.928356960954
base_plant_dynamic_50.csv,50.0,43.0,1035.2493,14359.562638118821,1474.2134097880323,156.67574043941602,346.2715972193831,22264.272993031616,20160.466026309572
base_plant_dynamic_50.csv,50.0,44.0,1050.614,15323.694910073087,1505.491418566682,165.45400233561514,364.6616505099584,23769.7644115983,21500.503442540637
base_plant_dynamic_50.csv,50.0,45.0,1065.9596,16328.3030463463,1533.6215528789687,175.09850006832858,383.41551268314396,25303.385964477267,22859.026495351278
base_plant_dynamic_50.csv,50.0,46.0,1081.2559,17365.473900707475,1559.8013371103712,184.29478183166083,402.51761566513585,26863.187301587637,24234.533050629987
base_plant_dynamic_50.csv,50.0,47.0,1096.5247,18424.654515304348,1584.9493545989483,193.52223960165736,421.94393320683287,28448.136656186587,25625.96016562728
base_plant_dynamic_50.csv,50.0,48.0,1111.791,19432.541590038654,1608.5636927904748,202.12781031780233,441.68176619081794,30056.70034897706,27032.396048099952
base_plant_dynamic_50.csv,50.0,49.0,1127.0138,20450.11880618774,1625.7176419563277,206.19706318413384,461.6494569096376,31682.41799093339,28451.916626872146
base_plant_dynamic_50.csv,50.0,50.0,1142.2472,21476.26938333374,1641.014313726775,209.99485341603605,481.8196342465766,33323.432304660164,29882.936087182883
base_plant_dynamic_50.csv,50.0,51.0,1157.6676,22508.78101277858,1654.4326641203377,214.89971655172096,502.1782560916527,34977.8649687805,31322.4690347515
base_plant_dynamic_50.csv,50.0,52.0,1173.0496,23548.361440712484,1665.8806108653073,215.2516975344814,522.6996245091531,36643.74557964581,32773.09794808232
base_plant_dynamic_50.csv,50.0,53.0,1188.4918,24591.4204261392,1675.430384472166,216.42612567843167,543.3708965691047,38319.175964117974,34232.10220687606
base_plant_dynamic_50.csv,50.0,54.0,1204.074,25636.64385850027,1683.4713934786898,222.2091213340036,564.1990829431056,40002.64735759667,35693.36447902075
base_plant_dynamic_50.csv,50.0,55.0,1219.6097,26684.857635847748,1689.4982497993542,224.77584176025374,585.1475429650321,41692.14560739602,37158.08688705985
base_plant_dynamic_50.csv,50.0,56.0,1235.0632,27735.163288505893,1693.4843279355732,226.42570654017683,606.1997559037809,43385.62993533159,38625.14550845524
base_plant_dynamic_50.csv,50.0,57.0,1250.451,28787.05443979904,1696.7949465378772,228.03150767049667,627.3426920127804,45082.42488186947,40093.90894732263
base_plant_dynamic_50.csv,50.0,58.0,1265.942,29837.491528239974,1699.3476012488502,232.03476047715162,648.5639298949907,46781.77248311832,41561.22178809433
base_plant_dynamic_50.csv,50.0,59.0,1281.5006,30887.634461502726,1701.5605375455407,235.25873151198587,669.8799348282632,48483.333020663864,43027.52359412788
base_plant_dynamic_50.csv,50.0,60.0,1297.0874,31937.57469695188,1703.170516966429,237.63124274556762,691.2678237136791,50186.50353763029,44493.062868348745
base_plant_dynamic_50.csv,50.0,61.0,1312.6699,32987.43569141884,1704.1331085549261,239.24080425809572,712.7358597348918,51890.636646185216,45957.955172645576
base_plant_dynamic_50.csv,50.0,62.0,1328.196,34037.43788602499,1704.417160097868,239.78137267930356,734.2768466967434,53595.05380628308,47422.59096006414
base_plant_dynamic_50.csv,50.0,63.0,1343.7484,35086.66746453319,1704.5711665347835,241.53378254184838,755.8846004383615,55299.62497281787,48885.62834405708
